S/N,Gender,Age,Location,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,health,absences,Score
266,F,12,R,LE3,T,1,1,2,3,0,no,no,no,yes,yes,yes,yes,4,3,5,4,44
267,F,12,U,LE3,A,4,2,1,2,0,no,yes,no,yes,yes,yes,no,4,3,4,4,43
268,M,12,U,LE3,T,4,3,2,2,0,no,no,no,yes,yes,yes,yes,2,5,5,8,45
269,M,12,R,LE3,A,4,4,2,2,0,no,yes,no,no,yes,yes,yes,3,3,4,0,36
270,M,11,U,LE3,T,4,3,1,1,0,no,no,no,yes,no,yes,yes,5,4,3,7,43
271,M,11,U,GT3,T,4,4,1,1,0,no,no,yes,yes,yes,yes,yes,5,3,5,4,44
272,F,12,U,GT3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,yes,5,3,5,2,34
273,M,12,R,GT3,T,1,1,2,3,0,no,no,no,no,no,yes,yes,4,3,1,2,42
274,F,12,U,GT3,T,3,3,2,3,0,no,yes,no,no,yes,yes,yes,4,2,5,10,33
275,F,12,U,GT3,T,1,1,1,2,0,yes,no,no,no,no,yes,no,4,3,4,10,29
276,F,13,U,GT3,T,2,1,2,3,0,no,yes,no,no,no,yes,yes,4,4,3,10,33
277,M,11,U,GT3,T,2,1,3,1,0,no,no,no,no,yes,yes,yes,4,3,4,7,47
278,F,12,U,GT3,T,1,1,1,2,0,no,yes,no,no,yes,yes,no,4,3,5,4,32
279,M,12,U,GT3,T,2,3,2,1,0,no,no,no,no,yes,yes,yes,5,2,2,2,34
280,M,17,U,GT3,T,3,1,1,1,3,no,no,no,no,no,no,yes,5,4,1,12,20
281,M,13,R,LE3,T,3,3,1,2,0,no,yes,no,no,yes,yes,yes,4,3,5,8,29
282,M,11,U,GT3,T,0,2,1,1,0,no,no,no,no,no,yes,yes,4,3,5,0,34
283,M,13,U,GT3,T,3,2,2,1,0,no,no,no,no,yes,no,yes,4,4,5,8,22
284,M,11,U,GT3,T,3,3,3,2,1,yes,yes,no,no,no,yes,yes,5,3,2,4,30
285,M,13,U,GT3,T,2,1,1,1,2,no,no,no,no,no,no,yes,3,2,5,4,21
286,M,11,R,GT3,T,2,1,2,1,0,no,no,no,yes,no,yes,no,3,3,3,2,39
287,M,12,R,GT3,T,2,1,1,1,0,no,no,no,no,no,yes,yes,4,4,5,0,37
288,M,12,U,LE3,T,1,1,2,1,1,no,yes,no,yes,yes,yes,yes,4,4,5,0,29
289,F,13,U,LE3,A,2,1,1,2,0,no,yes,no,no,no,yes,yes,4,3,5,2,37
290,F,12,U,LE3,T,4,2,1,4,0,no,yes,no,yes,yes,yes,yes,4,2,4,2,46
291,F,14,U,GT3,T,2,2,1,2,0,no,yes,no,no,yes,yes,yes,4,3,5,0,31
292,M,13,U,LE3,T,2,1,3,2,1,no,no,no,yes,no,no,yes,4,4,5,4,32
293,F,12,R,GT3,T,4,2,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,5,2,37
294,F,13,U,LE3,T,1,1,1,3,0,no,yes,no,no,no,yes,no,4,4,3,4,37
295,F,13,R,GT3,T,2,2,1,2,0,yes,no,no,no,yes,yes,no,3,2,5,4,35
296,M,14,U,LE3,A,4,3,1,2,0,no,yes,no,no,yes,yes,yes,4,3,1,4,38
297,M,13,U,GT3,T,2,1,1,2,0,no,no,no,yes,yes,yes,yes,5,2,4,2,48
298,M,12,R,GT3,T,2,2,2,1,0,no,no,no,no,no,no,no,5,2,4,0,29
299,F,12,U,LE3,T,2,2,1,4,0,no,no,no,yes,yes,yes,yes,3,4,2,2,33
300,F,15,R,GT3,T,2,1,2,2,0,no,yes,yes,yes,yes,no,yes,1,2,2,8,34
301,F,13,U,GT3,T,4,3,1,2,0,no,yes,no,no,yes,yes,yes,3,1,2,2,45
302,M,13,U,GT3,T,4,3,1,2,0,no,yes,no,no,no,yes,yes,4,3,3,2,31
303,M,13,R,GT3,T,3,2,1,3,0,no,no,no,yes,no,yes,no,5,3,3,2,33
304,F,12,U,GT3,T,3,3,1,3,0,no,no,no,yes,no,yes,no,3,2,4,2,40
305,F,13,U,GT3,T,2,2,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,3,0,36
306,M,12,U,GT3,T,2,2,2,1,0,no,no,no,no,yes,no,yes,4,4,4,8,25
307,M,13,R,LE3,A,3,4,2,2,0,no,yes,no,yes,yes,yes,yes,4,2,1,6,47
308,M,12,U,GT3,T,3,1,1,2,0,no,no,no,yes,yes,yes,yes,5,4,5,0,36
309,F,13,R,GT3,T,4,4,2,2,0,no,no,no,yes,yes,yes,yes,4,3,4,8,33
310,M,13,U,GT3,T,4,2,1,2,0,no,yes,no,yes,yes,yes,yes,5,4,5,4,36
311,F,13,R,GT3,T,2,1,2,2,0,no,yes,no,no,yes,no,yes,4,3,3,12,27
312,F,14,U,GT3,T,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,5,16,35
313,F,13,U,GT3,T,2,3,1,4,0,no,yes,no,yes,yes,yes,yes,4,5,2,10,48
314,F,13,U,LE3,T,1,1,2,2,0,no,yes,no,no,no,yes,no,4,4,3,2,39
315,M,12,R,GT3,T,1,2,1,2,0,no,yes,no,yes,no,yes,no,3,5,1,2,51
316,F,13,U,GT3,T,2,1,1,2,0,no,yes,no,no,yes,yes,yes,4,2,1,8,43
317,F,12,U,GT3,T,2,4,2,2,0,no,yes,no,no,yes,yes,yes,4,3,1,6,47
318,F,12,U,LE3,T,2,2,2,2,0,yes,yes,no,no,yes,yes,yes,4,4,5,6,36
319,F,13,R,GT3,A,3,2,2,2,0,no,no,no,no,no,no,yes,4,1,5,15,31
320,M,13,U,GT3,T,4,4,2,1,0,no,no,no,yes,yes,yes,yes,3,2,3,6,35
321,F,13,U,GT3,T,4,4,1,2,1,yes,yes,no,yes,yes,yes,yes,2,4,4,2,39
322,F,12,U,GT3,T,2,2,3,3,0,no,yes,no,no,yes,yes,yes,4,2,1,8,43
323,F,14,R,GT3,T,3,2,1,2,1,yes,yes,no,no,yes,no,yes,3,3,3,0,27
324,M,13,U,LE3,T,4,3,2,1,0,no,no,no,yes,yes,yes,yes,4,2,1,0,30
325,M,13,U,GT3,T,1,2,2,1,0,no,no,no,no,no,no,yes,3,4,4,10,31
327,12,U,LE3,A,3,2,1,1,0,no,no,no,no,yes,yes,yes,4,4,3,18,,
328,13,R,LE3,T,1,1,2,4,0,no,yes,no,yes,yes,yes,no,5,2,3,2,,
329,13,U,GT3,T,1,1,2,2,0,yes,no,no,yes,yes,yes,yes,5,4,4,0,,
330,12,U,GT3,T,2,2,1,2,0,no,yes,no,no,no,yes,yes,5,4,5,12,,
331,13,U,GT3,T,2,1,2,2,0,no,no,no,yes,yes,yes,yes,4,3,5,10,,
332,12,U,GT3,T,1,1,1,2,0,no,no,no,no,no,yes,yes,4,3,4,0,,
333,13,U,GT3,T,2,2,1,3,0,no,yes,no,no,yes,yes,yes,4,3,2,0,,
334,12,U,GT3,T,1,1,1,3,0,no,yes,no,no,yes,yes,yes,4,3,3,0,,
335,13,U,GT3,T,2,1,1,3,0,no,no,no,yes,yes,yes,yes,4,2,2,0,,
336,13,U,LE3,A,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,5,4,2,0,,
337,13,U,GT3,T,4,2,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,5,2,,
338,12,U,GT3,T,4,3,1,3,0,no,yes,no,no,yes,yes,yes,4,2,3,0,,
339,12,R,LE3,T,3,1,2,4,0,no,yes,no,no,yes,yes,no,3,1,3,0,,
340,13,R,LE3,T,3,2,2,3,0,no,yes,no,yes,yes,yes,yes,5,4,4,0,,
341,12,U,GT3,T,3,3,1,1,0,no,yes,no,no,yes,yes,yes,4,4,5,0,,
342,14,U,GT3,T,4,4,2,2,0,no,yes,no,yes,yes,yes,yes,2,3,2,2,,
343,13,U,LE3,T,4,3,2,2,0,no,yes,no,no,yes,yes,yes,4,4,2,0,,
344,13,U,GT3,T,4,3,1,4,0,no,yes,no,no,yes,yes,yes,4,3,3,0,,
345,13,U,LE3,T,4,4,1,1,0,no,yes,no,no,yes,yes,yes,1,4,1,0,,
346,13,U,LE3,A,4,4,1,2,0,no,yes,yes,no,yes,yes,yes,4,2,4,0,,
347,12,U,LE3,T,4,4,2,1,0,no,no,no,no,yes,yes,yes,4,1,5,0,,
348,12,R,GT3,T,4,4,2,3,0,no,yes,no,yes,yes,yes,yes,5,3,5,0,,
349,12,U,GT3,T,4,2,2,3,0,no,yes,no,no,yes,yes,yes,4,3,3,0,,
350,12,U,GT3,T,3,2,1,4,0,no,yes,no,yes,no,yes,yes,5,2,5,0,,
351,14,R,LE3,T,2,1,2,3,1,no,no,no,yes,yes,yes,yes,4,3,5,0,,
352,15,U,GT3,A,3,2,1,1,2,no,no,no,yes,yes,yes,no,5,5,5,0,,
353,14,R,GT3,T,3,3,1,2,0,no,no,no,yes,yes,yes,no,4,5,5,0,,
354,13,U,GT3,T,1,4,1,2,0,yes,yes,no,no,no,yes,no,3,4,5,2,,
355,13,U,GT3,T,2,1,2,2,0,no,yes,no,yes,yes,yes,yes,5,3,1,2,,
356,12,U,GT3,T,2,3,2,2,0,no,no,no,yes,yes,yes,yes,4,2,3,2,,
357,12,R,GT3,T,4,4,1,1,0,no,no,no,yes,yes,yes,yes,4,4,5,2,,
358,13,U,GT3,T,4,3,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,5,2,,
359,13,U,LE3,T,4,3,2,1,0,no,yes,no,no,yes,yes,yes,3,2,1,8,,
360,12,R,GT3,T,3,4,1,3,0,no,yes,no,yes,no,yes,yes,4,3,5,2,,
361,13,U,GT3,T,3,3,1,2,0,no,yes,no,no,yes,yes,yes,4,1,3,8,,
362,14,U,GT3,T,4,2,2,2,0,no,yes,no,yes,yes,yes,yes,5,4,1,9,,
363,13,U,GT3,T,4,4,1,2,0,no,yes,no,no,yes,yes,yes,4,4,5,0,,
364,13,U,GT3,T,3,4,1,1,0,no,yes,no,yes,yes,yes,yes,5,4,1,4,,
365,12,U,GT3,T,4,4,1,1,0,no,no,no,yes,yes,yes,yes,5,3,5,2,,
366,12,U,GT3,A,4,3,1,2,0,no,yes,no,no,yes,yes,yes,5,2,5,14,,
367,12,U,LE3,A,3,3,1,2,0,yes,yes,no,no,yes,yes,yes,5,3,5,0,,
368,12,U,LE3,T,2,1,1,2,0,no,no,no,yes,yes,yes,yes,4,2,2,2,,
369,13,U,LE3,T,4,4,1,1,0,no,yes,no,no,yes,yes,yes,4,2,5,2,,
370,14,U,GT3,T,1,1,3,3,0,no,no,no,yes,yes,no,no,1,5,5,12,,
371,14,U,LE3,A,1,1,3,2,2,no,yes,no,no,no,yes,yes,5,3,4,2,,
372,13,U,GT3,T,2,2,1,1,0,no,yes,no,yes,yes,yes,yes,4,3,5,2,,
373,12,U,GT3,T,2,2,1,2,0,no,yes,no,no,yes,yes,no,4,2,3,4,,
374,12,R,LE3,T,2,2,1,3,0,no,yes,no,yes,yes,yes,yes,3,3,3,0,,
375,12,U,GT3,T,3,1,1,3,0,no,yes,no,no,no,yes,yes,3,4,5,0,,
376,12,U,LE3,T,0,2,2,3,0,no,no,no,no,yes,yes,yes,3,3,2,0,,
377,13,U,GT3,T,1,1,2,3,0,no,no,no,yes,yes,yes,yes,4,5,2,0,,
378,13,U,GT3,T,4,4,1,3,0,no,no,no,yes,yes,yes,yes,4,3,3,0,,
379,12,U,GT3,T,3,3,1,1,0,no,no,no,yes,no,yes,yes,4,3,5,0,,
380,12,R,GT3,T,2,2,4,1,0,no,yes,no,no,yes,yes,yes,4,4,4,2,,
381,12,U,GT3,T,4,4,1,3,0,no,yes,no,yes,yes,yes,yes,5,4,4,0,,
382,12,U,GT3,T,4,4,2,3,0,no,yes,no,no,no,yes,yes,4,3,4,4,,
383,12,U,GT3,T,3,3,1,1,0,no,yes,yes,yes,yes,yes,yes,4,2,5,2,,
384,13,U,LE3,T,2,2,1,4,0,no,yes,yes,yes,yes,yes,yes,4,5,5,0,,
385,14,R,GT3,T,3,2,1,1,0,no,yes,no,no,no,yes,no,5,3,5,0,,
386,13,U,GT3,T,2,2,4,2,0,no,no,no,yes,yes,yes,no,4,2,2,2,,
387,12,R,GT3,T,2,4,1,3,0,no,yes,no,no,yes,yes,yes,4,4,5,0,,
388,13,U,GT3,T,2,2,1,1,0,no,no,no,no,no,yes,yes,5,4,5,6,,
389,13,U,GT3,T,3,3,1,2,0,no,no,no,yes,yes,yes,yes,5,3,4,8,,
390,13,U,LE3,T,2,2,1,2,0,no,no,no,yes,no,yes,yes,4,3,2,0,,
391,13,R,GT3,T,2,2,2,4,0,no,no,no,yes,yes,yes,no,4,4,4,6,,
392,12,U,GT3,T,3,4,1,3,0,no,no,no,no,yes,yes,yes,4,4,5,8,,
393,12,U,GT3,T,3,2,1,2,0,no,yes,no,no,yes,yes,yes,4,3,2,0,,
394,13,U,LE3,T,3,3,1,4,0,no,yes,no,no,yes,yes,yes,5,3,1,4,,
395,12,R,GT3,A,3,2,1,2,0,no,yes,no,no,yes,yes,yes,4,3,2,0,,
396,13,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,2,0,,
397,13,U,LE3,T,3,4,1,2,0,no,no,no,yes,yes,yes,yes,4,3,5,6,,
398,12,U,GT3,A,2,2,1,2,0,no,yes,no,no,yes,yes,yes,3,3,4,18,,
399,13,U,GT3,T,2,3,1,3,0,no,yes,no,no,yes,yes,yes,4,3,3,0,,
400,13,U,GT3,T,3,2,1,3,0,no,no,no,no,yes,yes,yes,5,4,1,4,,
401,13,R,GT3,T,4,3,1,3,0,no,no,no,no,yes,yes,yes,5,3,4,4,,
402,13,U,GT3,T,4,3,1,3,0,no,yes,no,no,yes,yes,yes,5,4,5,0,,
403,12,U,GT3,T,4,3,1,3,0,no,yes,no,yes,yes,yes,yes,4,4,4,0,,
404,12,U,GT3,T,2,1,2,2,0,no,yes,no,yes,yes,yes,yes,4,3,1,10,,
405,12,U,GT3,T,2,1,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,4,4,,
406,14,U,LE3,A,2,3,2,1,1,no,no,no,no,yes,no,yes,2,2,5,16,,
407,12,U,GT3,T,3,1,1,1,1,no,yes,yes,no,yes,yes,yes,4,1,3,6,,
408,16,U,LE3,T,4,4,1,3,2,no,no,yes,yes,yes,yes,yes,3,3,5,0,,
409,13,U,LE3,T,2,2,1,2,0,no,yes,no,yes,no,no,yes,4,4,3,11,,
410,13,U,LE3,A,3,4,1,2,0,no,no,no,yes,yes,yes,yes,4,3,2,9,,
411,12,U,GT3,T,2,2,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,4,0,,
412,12,U,LE3,A,4,4,1,3,0,no,yes,no,no,yes,yes,yes,4,4,4,2,,
413,13,U,LE3,T,4,2,1,2,0,no,yes,no,yes,yes,yes,yes,4,2,3,0,,
414,16,R,LE3,T,1,1,2,2,2,no,yes,no,yes,yes,no,yes,5,3,4,21,,
415,15,R,GT3,T,1,1,2,3,0,no,no,no,no,yes,yes,yes,3,2,3,8,,
416,14,U,GT3,T,4,4,1,1,1,no,yes,no,no,yes,yes,yes,3,2,5,5,,
417,12,U,LE3,A,3,2,1,2,0,no,yes,no,no,yes,yes,yes,4,4,5,10,,
418,13,U,GT3,T,3,2,1,3,0,no,yes,no,no,yes,yes,yes,4,3,2,5,,
419,13,R,GT3,T,2,3,1,1,0,no,no,no,no,yes,yes,yes,3,1,4,13,,
420,14,U,GT3,T,2,1,1,1,0,no,no,no,no,yes,yes,yes,5,3,4,10,,
421,13,U,LE3,A,2,2,2,2,0,no,yes,no,no,yes,yes,yes,4,1,4,10,,
422,15,U,GT3,T,1,0,2,1,1,yes,no,no,no,yes,yes,yes,5,3,5,5,,
423,13,U,GT3,T,3,2,1,2,0,no,yes,no,yes,no,yes,yes,3,1,1,4,,
424,11,U,GT3,T,1,3,2,1,0,no,yes,no,no,yes,no,yes,4,3,5,11,,
425,11,R,GT3,T,2,2,2,2,0,no,yes,no,yes,yes,yes,yes,4,4,5,0,,
426,10,R,GT3,T,1,1,1,1,1,no,yes,no,no,yes,yes,no,4,1,2,6,,
427,10,R,GT3,T,3,3,2,1,0,no,yes,no,no,yes,yes,yes,5,4,5,4,,
428,11,R,GT3,T,2,3,2,2,0,no,no,no,no,yes,yes,no,4,5,5,0,,
429,10,R,LE3,T,2,1,2,1,0,no,no,no,no,yes,no,no,1,3,1,0,,
430,11,R,LE3,A,4,4,1,2,0,no,yes,no,no,yes,yes,no,5,3,2,5,,
431,11,U,GT3,A,1,2,1,3,0,yes,no,no,no,yes,yes,yes,4,4,5,0,,
432,12,R,GT3,T,3,2,1,2,1,no,no,no,no,yes,yes,no,4,5,5,0,,
433,12,R,GT3,T,1,1,1,1,1,no,yes,no,no,no,no,yes,5,4,5,0,,
434,10,R,GT3,T,4,4,2,1,0,no,no,no,no,yes,yes,yes,1,5,5,0,,
435,11,U,LE3,A,2,2,2,4,0,no,no,no,yes,no,no,no,1,2,1,4,,
436,10,R,LE3,T,1,1,2,2,0,no,yes,no,no,yes,yes,yes,5,4,4,0,,
437,10,R,LE3,T,1,1,2,1,1,no,yes,no,no,yes,yes,yes,4,4,2,4,,
438,11,R,GT3,T,0,2,2,1,0,no,yes,no,yes,yes,yes,no,3,2,2,0,,
439,12,R,GT3,T,2,3,2,1,0,no,yes,no,no,yes,yes,yes,5,5,3,2,,
440,10,R,GT3,T,3,3,2,1,0,no,no,no,no,no,yes,yes,4,1,4,0,,
441,11,U,GT3,T,1,1,2,2,0,no,yes,no,yes,yes,yes,no,5,4,3,0,,
442,12,U,GT3,T,1,1,1,2,0,no,no,yes,no,no,yes,yes,4,4,5,4,,
443,10,R,LE3,T,4,1,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,2,0,,
444,10,R,LE3,T,4,1,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,2,7,,
445,11,R,GT3,T,3,4,3,2,0,no,no,no,no,no,yes,no,3,4,5,4,,
446,10,R,GT3,T,1,1,4,2,0,no,yes,no,yes,yes,yes,no,5,4,4,8,,
447,10,U,LE3,T,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,5,0,,
448,12,R,GT3,T,2,1,3,1,0,no,no,no,yes,yes,no,no,5,5,3,8,,
449,11,R,GT3,T,4,4,2,3,0,no,no,no,yes,yes,yes,yes,4,2,4,6,,
450,10,R,GT3,T,1,2,2,1,0,no,no,no,no,yes,yes,no,5,1,1,3,,
451,11,R,GT3,T,2,3,3,2,0,no,yes,no,no,yes,yes,yes,4,5,1,2,,
452,11,R,GT3,T,1,2,2,2,0,no,no,no,no,yes,yes,no,4,3,5,0,,
453,11,R,GT3,T,2,2,3,2,0,no,yes,no,no,yes,yes,yes,4,4,4,4,,
454,11,U,GT3,T,1,2,1,3,1,no,yes,no,no,yes,yes,no,1,3,4,0,,
455,11,U,GT3,T,1,2,1,3,1,no,yes,no,no,yes,yes,no,1,3,4,3,,
456,10,U,GT3,T,2,1,1,2,0,yes,yes,no,no,no,yes,yes,4,4,2,0,,
457,11,U,GT3,T,1,1,1,2,0,no,yes,no,no,no,yes,no,5,4,2,0,,
458,12,R,LE3,T,1,2,1,1,0,no,yes,no,yes,yes,yes,yes,5,5,3,4,,
459,11,R,GT3,T,1,1,4,4,0,no,yes,no,no,no,yes,yes,4,3,1,0,,
460,11,R,GT3,T,1,1,4,3,0,yes,yes,no,no,yes,yes,no,4,4,5,2,,
461,10,R,GT3,T,1,1,2,2,0,no,yes,no,yes,yes,yes,yes,4,3,2,1,,
462,11,R,GT3,T,1,1,2,1,0,no,no,no,yes,yes,yes,yes,4,2,2,0,,
463,10,R,GT3,T,1,1,3,2,0,no,yes,no,no,yes,yes,no,4,2,2,0,,
464,10,R,LE3,T,2,2,1,3,0,yes,yes,no,no,yes,yes,no,4,4,5,2,,
465,11,R,GT3,T,1,1,2,1,0,no,no,no,yes,yes,yes,no,3,4,5,6,,
466,13,U,GT3,T,1,2,1,2,1,no,yes,no,yes,yes,yes,yes,3,4,5,9,,
467,10,U,GT3,T,3,1,2,1,0,no,yes,no,no,yes,yes,no,3,2,4,0,,
468,11,R,GT3,T,2,2,3,2,0,no,yes,no,yes,yes,yes,yes,5,3,2,1,,
469,10,U,GT3,T,2,2,3,1,0,no,no,no,no,yes,yes,no,4,3,4,1,,
470,11,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,0,,
471,10,R,GT3,T,3,3,1,2,0,no,yes,no,no,yes,yes,yes,4,5,1,4,,
472,11,R,GT3,T,2,2,2,2,1,no,yes,no,yes,no,yes,no,4,4,5,2,,
473,11,R,LE3,T,2,2,3,1,0,no,yes,no,yes,yes,yes,no,4,3,4,0,,
474,11,U,LE3,T,2,1,2,1,0,no,yes,no,yes,yes,yes,yes,2,4,4,4,,
475,10,R,LE3,T,1,3,3,1,0,no,yes,no,yes,yes,yes,yes,4,2,3,2,,
476,10,U,GT3,T,2,2,2,3,0,no,yes,no,yes,yes,yes,no,5,3,4,0,,
477,11,R,LE3,T,2,1,1,1,0,no,yes,no,no,yes,yes,yes,5,4,5,2,,
478,10,U,GT3,T,3,3,2,1,0,no,yes,no,yes,no,yes,yes,4,3,3,11,,
479,11,R,GT3,T,1,1,2,2,3,yes,yes,no,no,yes,yes,no,3,4,1,0,,
480,12,U,GT3,T,2,2,1,1,0,no,yes,no,yes,yes,no,no,4,5,5,4,,
481,14,U,GT3,T,2,3,1,1,1,no,no,no,no,yes,no,yes,4,4,2,0,,
482,12,R,GT3,T,2,1,3,1,0,no,yes,no,yes,yes,no,no,5,5,3,2,,
483,10,R,LE3,T,1,1,2,1,0,no,yes,no,no,yes,no,no,5,2,4,0,,
484,11,R,GT3,T,2,2,3,2,0,no,yes,no,no,yes,no,yes,3,4,1,1,,
485,11,U,LE3,A,2,2,1,1,0,no,yes,no,no,yes,no,no,4,3,1,6,,
486,12,R,GT3,T,2,2,2,2,0,no,yes,no,no,yes,yes,yes,4,3,4,0,,
487,11,U,GT3,T,2,2,1,1,1,no,yes,yes,yes,no,yes,yes,4,4,3,1,,
488,13,R,LE3,A,3,2,2,3,2,no,yes,no,no,no,no,no,3,3,2,6,,
489,14,U,GT3,T,1,1,1,3,1,no,no,no,yes,yes,no,no,5,3,3,6,,
490,13,R,GT3,T,1,1,2,1,1,no,no,no,yes,yes,no,yes,4,4,4,0,,
491,13,R,GT3,T,1,1,2,1,1,no,no,no,no,no,no,yes,3,2,2,4,,
492,14,U,GT3,T,1,1,2,2,1,no,yes,no,no,yes,yes,yes,1,1,1,12,,
493,11,R,GT3,A,2,2,1,2,0,no,no,no,no,no,yes,no,3,3,3,2,,
494,12,U,GT3,T,0,1,2,1,0,no,no,no,yes,no,yes,no,2,4,5,5,,
495,11,R,LE3,T,1,2,1,2,0,no,no,no,yes,yes,no,yes,4,4,3,0,,
496,11,U,GT3,T,3,3,1,1,0,no,no,no,yes,yes,no,yes,4,5,4,0,,
497,11,R,LE3,T,1,1,1,1,0,no,yes,no,yes,yes,yes,yes,4,4,4,2,,
498,12,U,GT3,T,3,3,2,4,1,no,yes,yes,yes,yes,yes,no,5,4,5,0,,
499,11,U,GT3,T,2,1,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,1,0,,
500,11,U,GT3,T,2,2,1,1,0,no,yes,yes,yes,yes,yes,no,4,2,5,0,,
501,12,U,GT3,T,1,2,1,1,1,no,yes,no,yes,yes,no,yes,5,3,1,12,,
502,11,U,LE3,T,4,3,1,1,0,no,no,no,yes,yes,yes,yes,4,2,5,8,,
503,12,R,LE3,T,2,2,3,4,1,no,yes,no,no,yes,yes,no,1,3,3,2,,
504,11,U,GT3,T,1,1,1,4,0,yes,yes,no,yes,yes,yes,yes,2,2,5,0,,
505,14,U,LE3,T,2,2,1,3,0,no,no,no,no,yes,yes,yes,5,4,1,0,,
506,12,R,GT3,T,1,1,2,1,0,no,yes,no,yes,no,yes,yes,4,4,5,0,,
507,15,U,GT3,T,3,3,2,2,1,no,no,no,yes,yes,yes,yes,3,3,3,8,,
508,12,U,LE3,T,1,1,1,3,0,no,yes,no,no,yes,yes,no,4,3,3,0,,
509,12,R,GT3,T,2,2,3,1,1,no,yes,no,no,no,yes,yes,4,4,5,0,,
510,11,R,LE3,T,1,1,3,2,0,no,yes,no,no,yes,yes,no,5,3,1,0,,
511,12,R,GT3,T,2,2,2,2,0,no,yes,no,yes,yes,yes,no,5,3,1,0,,
512,12,U,GT3,A,1,0,2,2,0,no,no,no,no,yes,yes,yes,4,4,4,1,,
513,13,R,GT3,T,1,1,1,2,1,no,yes,no,no,yes,yes,yes,4,3,5,9,,
514,11,U,GT3,T,3,1,1,1,0,no,no,no,yes,yes,yes,yes,3,1,1,0,,
515,11,U,GT3,T,3,2,1,1,0,no,no,no,no,yes,yes,yes,3,1,3,2,,
516,13,U,LE3,T,1,1,2,2,0,yes,no,no,no,yes,yes,no,2,3,3,8,,
517,11,R,GT3,T,4,4,1,2,0,no,no,no,yes,no,yes,yes,4,3,2,0,,
518,11,R,LE3,T,1,2,2,1,0,no,no,no,yes,yes,yes,yes,5,4,2,0,,
519,13,U,GT3,A,2,4,1,2,1,no,yes,no,no,yes,yes,yes,2,3,1,8,,
520,11,R,GT3,T,2,1,2,2,0,no,no,no,yes,yes,yes,yes,5,2,2,0,,
521,11,U,LE3,T,1,1,3,2,0,no,yes,no,no,yes,yes,yes,4,3,5,6,,
522,11,R,GT3,T,2,3,2,2,0,no,yes,no,yes,yes,yes,yes,3,3,2,0,,
523,11,U,GT3,T,4,4,1,2,0,no,yes,no,no,yes,yes,yes,4,3,3,4,,
524,13,U,LE3,T,4,4,1,4,0,no,yes,no,yes,yes,no,yes,5,5,5,2,,
525,11,R,LE3,T,3,4,3,2,0,no,yes,no,no,no,yes,no,4,2,2,2,,
526,12,U,LE3,T,4,4,1,3,0,no,yes,no,no,yes,yes,yes,4,4,5,0,,
527,12,R,GT3,T,4,1,1,1,0,no,no,no,no,yes,yes,yes,4,2,5,1,,
528,11,U,LE3,T,2,2,4,3,0,no,no,no,no,yes,yes,no,5,1,3,0,,
529,12,R,GT3,T,2,2,1,1,0,no,yes,yes,no,yes,yes,yes,5,1,5,5,,
530,11,U,LE3,T,4,4,2,1,0,no,yes,no,no,yes,yes,no,5,1,5,1,,
531,12,U,GT3,T,3,3,1,1,0,no,yes,no,yes,yes,yes,yes,4,1,3,8,,
532,12,U,GT3,T,1,1,3,2,0,no,no,no,no,yes,yes,yes,5,1,1,0,,
533,11,U,GT3,T,2,1,2,2,0,no,no,no,no,no,yes,yes,4,2,5,2,,
534,11,U,LE3,T,2,1,1,2,0,no,no,no,no,yes,yes,yes,3,2,3,0,,
535,11,U,LE3,T,4,4,1,1,0,no,yes,no,no,yes,yes,yes,4,1,5,0,,
536,10,R,GT3,T,1,2,3,2,0,no,yes,no,yes,yes,yes,no,5,5,5,11,,
537,10,U,LE3,A,2,2,3,4,0,no,yes,no,yes,yes,yes,no,5,4,5,8,,
538,10,U,LE3,A,2,1,1,1,0,no,no,no,yes,yes,yes,yes,4,3,5,11,,
539,11,R,LE3,T,2,2,1,3,0,no,yes,no,no,no,yes,no,4,3,5,2,,
540,11,U,LE3,T,4,1,2,2,0,no,yes,no,yes,yes,yes,yes,1,2,1,8,,
541,12,U,GT3,T,3,2,2,1,0,no,no,no,no,yes,yes,no,4,3,1,5,,
542,12,R,GT3,T,2,2,2,2,0,yes,no,yes,no,yes,yes,no,5,1,5,0,,
543,11,U,GT3,T,4,4,2,3,0,no,yes,no,no,yes,yes,yes,5,3,5,1,,
544,12,R,GT3,T,4,4,3,1,3,no,no,no,yes,yes,yes,yes,3,3,5,2,,
